id,season,city,date,team1,team2,toss_winner,toss_decision,winner,venue,result,result_margin,player_of_match
82,2010,Wankhede,2010-04-12,DC,RR,RR,bat,DC,Wankhede Stadium,normal,9,Player_164
83,2010,Eden,2010-04-13,DC,PBKS,PBKS,bat,DC,Eden Gardens,normal,5,Player_86
84,2010,Arun,2010-04-14,LSG,DC,LSG,bat,LSG,Arun Jaitley Stadium,normal,26,Player_99
85,2010,Rajiv,2010-04-15,PBKS,SRH,SRH,field,PBKS,Rajiv Gandhi Stadium,normal,12,Player_112
86,2010,Rajiv,2010-04-16,DC,RCB,DC,field,DC,Rajiv Gandhi Stadium,normal,9,Player_41
87,2010,Arun,2010-04-17,RCB,RR,RR,bat,RCB,Arun Jaitley Stadium,normal,14,Player_119
88,2010,Chepauk,2010-04-18,MI,RR,RR,field,RR,Chepauk Stadium,normal,26,Player_16
89,2010,Rajiv,2010-04-19,RCB,MI,RCB,field,RCB,Rajiv Gandhi Stadium,normal,31,Player_85
90,2010,Rajiv,2010-04-20,CSK,SRH,CSK,bat,CSK,Rajiv Gandhi Stadium,normal,32,Player_56
91,2010,Chepauk,2010-04-21,LSG,RCB,RCB,field,LSG,Chepauk Stadium,normal,49,Player_87
92,2010,Eden,2010-04-22,DC,MI,DC,field,MI,Eden Gardens,normal,30,Player_82
93,2010,Eden,2010-04-23,KKR,CSK,KKR,field,CSK,Eden Gardens,normal,10,Player_103
94,2010,Chinnaswamy,2010-04-24,GT,RCB,RCB,field,GT,Chinnaswamy Stadium,normal,32,Player_131
95,2010,Eden,2010-04-25,RCB,KKR,RCB,field,KKR,Eden Gardens,normal,9,Player_127
96,2010,Wankhede,2010-04-26,DC,CSK,DC,field,CSK,Wankhede Stadium,normal,7,Player_70
97,2010,Eden,2010-04-27,RCB,CSK,CSK,bat,RCB,Eden Gardens,normal,50,Player_193
98,2010,Chinnaswamy,2010-04-28,DC,RR,RR,field,DC,Chinnaswamy Stadium,normal,31,Player_89
99,2010,Arun,2010-04-29,GT,LSG,LSG,field,LSG,Arun Jaitley Stadium,normal,34,Player_45
100,2010,Chepauk,2010-04-30,PBKS,RR,RR,bat,RR,Chepauk Stadium,normal,6,Player_43
101,2010,Narendra,2010-05-01,CSK,MI,CSK,bat,CSK,Narendra Modi Stadium,normal,45,Player_106
102,2010,Chinnaswamy,2010-05-02,LSG,DC,DC,bat,LSG,Chinnaswamy Stadium,normal,24,Player_81
103,2010,Arun,2010-05-03,PBKS,RCB,RCB,field,PBKS,Arun Jaitley Stadium,normal,26,Player_199
104,2010,Rajiv,2010-05-04,LSG,GT,GT,field,LSG,Rajiv Gandhi Stadium,normal,7,Player_189
105,2010,Rajiv,2010-05-05,KKR,DC,DC,field,KKR,Rajiv Gandhi Stadium,normal,44,Player_144
106,2011,Wankhede,2011-04-01,DC,KKR,DC,field,KKR,Wankhede Stadium,normal,14,Player_197
107,2011,Narendra,2011-04-02,SRH,MI,SRH,field,SRH,Narendra Modi Stadium,normal,20,Player_134
108,2011,Narendra,2011-04-03,PBKS,LSG,LSG,field,LSG,Narendra Modi Stadium,normal,14,Player_58
109,2011,Eden,2011-04-04,RCB,RR,RR,field,RR,Eden Gardens,normal,10,Player_73
110,2011,Chepauk,2011-04-05,DC,RCB,DC,bat,DC,Chepauk Stadium,normal,23,Player_130
111,2011,Narendra,2011-04-06,RR,DC,DC,bat,DC,Narendra Modi Stadium,normal,22,Player_39
112,2011,Chepauk,2011-04-07,DC,CSK,CSK,bat,DC,Chepauk Stadium,normal,27,Player_31
113,2011,Chepauk,2011-04-08,LSG,MI,MI,field,MI,Chepauk Stadium,normal,16,Player_69
114,2011,Rajiv,2011-04-09,RCB,PBKS,PBKS,bat,PBKS,Rajiv Gandhi Stadium,normal,25,Player_37
115,2011,Rajiv,2011-04-10,SRH,PBKS,PBKS,field,SRH,Rajiv Gandhi Stadium,normal,36,Player_164
116,2011,Chepauk,2011-04-11,MI,RR,MI,field,RR,Chepauk Stadium,normal,30,Player_27
117,2011,Eden,2011-04-12,DC,RCB,RCB,field,RCB,Eden Gardens,normal,16,Player_162
118,2011,Wankhede,2011-04-13,LSG,PBKS,PBKS,bat,PBKS,Wankhede Stadium,normal,8,Player_10
119,2011,Arun,2011-04-14,SRH,CSK,CSK,field,CSK,Arun Jaitley Stadium,normal,26,Player_4
120,2011,Narendra,2011-04-15,RR,SRH,SRH,field,SRH,Narendra Modi Stadium,normal,3,Player_9
121,2011,Chinnaswamy,2011-04-16,PBKS,DC,PBKS,bat,DC,Chinnaswamy Stadium,normal,38,Player_17
122,2011,Wankhede,2011-04-17,MI,SRH,MI,bat,MI,Wankhede Stadium,normal,29,Player_51
123,2011,Chinnaswamy,2011-04-18,GT,KKR,KKR,bat,KKR,Chinnaswamy Stadium,normal,8,Player_191
124,2011,Rajiv,2011-04-19,CSK,MI,CSK,bat,MI,Rajiv Gandhi Stadium,normal,26,Player_158
125,2011,Eden,2011-04-20,KKR,DC,DC,bat,DC,Eden Gardens,normal,39,Player_149
126,2011,Narendra,2011-04-21,LSG,GT,LSG,field,LSG,Narendra Modi Stadium,normal,16,Player_183
127,2011,Rajiv,2011-04-22,LSG,MI,MI,field,LSG,Rajiv Gandhi Stadium,normal,2,Player_55
128,2011,Arun,2011-04-23,DC,MI,MI,field,DC,Arun Jaitley Stadium,normal,48,Player_116
129,2011,Arun,2011-04-24,RR,RCB,RCB,bat,RCB,Arun Jaitley Stadium,normal,49,Player_31
130,2011,Chepauk,2011-04-25,CSK,MI,CSK,field,MI,Chepauk Stadium,normal,37,Player_181
131,2011,Chepauk,2011-04-26,SRH,GT,GT,bat,SRH,Chepauk Stadium,normal,23,Player_130
132,2011,Chepauk,2011-04-27,LSG,SRH,SRH,bat,SRH,Chepauk Stadium,normal,48,Player_9
133,2011,Chinnaswamy,2011-04-28,SRH,GT,GT,bat,GT,Chinnaswamy Stadium,normal,25,Player_161
134,2011,Narendra,2011-04-29,PBKS,MI,MI,field,MI,Narendra Modi Stadium,normal,40,Player_113
135,2011,Eden,2011-04-30,SRH,KKR,KKR,field,SRH,Eden Gardens,normal,1,Player_125
136,2011,Chinnaswamy,2011-05-01,MI,PBKS,MI,bat,PBKS,Chinnaswamy Stadium,normal,2,Player_142
137,2011,Wankhede,2011-05-02,GT,SRH,GT,field,GT,Wankhede Stadium,normal,11,Player_98
138,2011,Arun,2011-05-03,GT,LSG,LSG,bat,LSG,Arun Jaitley Stadium,normal,10,Player_91
139,2011,Narendra,2011-05-04,LSG,KKR,KKR,field,LSG,Narendra Modi Stadium,normal,46,Player_100
140,2011,Chepauk,2011-05-05,LSG,RCB,LSG,field,LSG,Chepauk Stadium,normal,43,Player_155
141,2012,Chepauk,2012-04-01,CSK,RCB,RCB,bat,CSK,Chepauk Stadium,normal,37,Player_166
142,2012,Narendra,2012-04-02,LSG,GT,GT,field,LSG,Narendra Modi Stadium,normal,23,Player_82
143,2012,Rajiv,2012-04-03,MI,SRH,SRH,field,MI,Rajiv Gandhi Stadium,normal,5,Player_160
144,2012,Chepauk,2012-04-04,PBKS,LSG,LSG,bat,PBKS,Chepauk Stadium,normal,29,Player_66
145,2012,Wankhede,2012-04-05,GT,SRH,GT,bat,SRH,Wankhede Stadium,normal,15,Player_49
146,2012,Eden,2012-04-06,KKR,SRH,SRH,bat,SRH,Eden Gardens,normal,49,Player_2
147,2012,Rajiv,2012-04-07,MI,KKR,MI,field,MI,Rajiv Gandhi Stadium,normal,8,Player_166
148,2012,Chinnaswamy,2012-04-08,RCB,LSG,LSG,bat,LSG,Chinnaswamy Stadium,normal,3,Player_108
149,2012,Wankhede,2012-04-09,DC,GT,GT,field,DC,Wankhede Stadium,normal,32,Player_60
150,2012,Rajiv,2012-04-10,GT,LSG,GT,bat,GT,Rajiv Gandhi Stadium,normal,4,Player_197
151,2012,Chepauk,2012-04-11,RCB,GT,GT,field,GT,Chepauk Stadium,normal,7,Player_19
152,2012,Wankhede,2012-04-12,PBKS,LSG,PBKS,field,PBKS,Wankhede Stadium,normal,4,Player_102
153,2012,Wankhede,2012-04-13,SRH,CSK,CSK,field,CSK,Wankhede Stadium,normal,47,Player_94
154,2012,Narendra,2012-04-14,GT,CSK,GT,field,GT,Narendra Modi Stadium,normal,3,Player_14
155,2012,Wankhede,2012-04-15,CSK,PBKS,PBKS,bat,CSK,Wankhede Stadium,normal,18,Player_151
156,2012,Narendra,2012-04-16,RR,CSK,RR,bat,CSK,Narendra Modi Stadium,normal,28,Player_102
157,2012,Rajiv,2012-04-17,GT,PBKS,PBKS,bat,GT,Rajiv Gandhi Stadium,normal,20,Player_118
158,2012,Narendra,2012-04-18,DC,RR,DC,field,DC,Narendra Modi Stadium,normal,10,Player_27
159,2012,Wankhede,2012-04-19,GT,RR,RR,bat,GT,Wankhede Stadium,normal,43,Player_59
160,2012,Arun,2012-04-20,KKR,LSG,KKR,field,KKR,Arun Jaitley Stadium,normal,23,Player_165
161,2012,Narendra,2012-04-21,SRH,CSK,CSK,bat,SRH,Narendra Modi Stadium,normal,2,Player_79
162,2012,Chinnaswamy,2012-04-22,SRH,DC,SRH,bat,DC,Chinnaswamy Stadium,normal,44,Player_186
163,2012,Chinnaswamy,2012-04-23,RR,KKR,RR,bat,RR,Chinnaswamy Stadium,normal,34,Player_94
164,2012,Narendra,2012-04-24,DC,GT,GT,bat,GT,Narendra Modi Stadium,normal,33,Player_159
165,2012,Rajiv,2012-04-25,DC,SRH,DC,field,DC,Rajiv Gandhi Stadium,normal,37,Player_18
166,2012,Arun,2012-04-26,RR,LSG,LSG,bat,RR,Arun Jaitley Stadium,normal,35,Player_90
167,2012,Wankhede,2012-04-27,LSG,DC,DC,field,LSG,Wankhede Stadium,normal,24,Player_33
168,2012,Wankhede,2012-04-28,LSG,SRH,SRH,bat,SRH,Wankhede Stadium,normal,30,Player_4
169,2012,Chinnaswamy,2012-04-29,DC,PBKS,DC,bat,DC,Chinnaswamy Stadium,normal,50,Player_71
170,2012,Arun,2012-04-30,SRH,PBKS,SRH,bat,SRH,Arun Jaitley Stadium,normal,12,Player_63
171,2012,Arun,2012-05-01,MI,RCB,RCB,bat,RCB,Arun Jaitley Stadium,normal,23,Player_150
172,2012,Narendra,2012-05-02,MI,PBKS,PBKS,field,MI,Narendra Modi Stadium,normal,47,Player_69
173,2012,Arun,2012-05-03,KKR,RCB,KKR,bat,KKR,Arun Jaitley Stadium,normal,43,Player_5
174,2012,Wankhede,2012-05-04,CSK,KKR,KKR,field,KKR,Wankhede Stadium,normal,15,Player_148
175,2012,Eden,2012-05-05,CSK,DC,DC,bat,DC,Eden Gardens,normal,27,Player_199
176,2013,Arun,2013-04-01,SRH,MI,MI,field,MI,Arun Jaitley Stadium,normal,34,Player_92
177,2013,Narendra,2013-04-02,GT,RR,RR,field,GT,Narendra Modi Stadium,normal,32,Player_32
178,2013,Rajiv,2013-04-03,CSK,PBKS,CSK,bat,PBKS,Rajiv Gandhi Stadium,normal,34,Player_144
179,2013,Rajiv,2013-04-04,LSG,CSK,LSG,bat,CSK,Rajiv Gandhi Stadium,normal,47,Player_176
180,2013,Eden,2013-04-05,RCB,KKR,KKR,field,KKR,Eden Gardens,normal,37,Player_167
181,2013,Chepauk,2013-04-06,RR,GT,RR,field,RR,Chepauk Stadium,normal,12,Player_11
182,2013,Chepauk,2013-04-07,DC,MI,MI,field,MI,Chepauk Stadium,normal,7,Player_68
183,2013,Narendra,2013-04-08,SRH,LSG,SRH,field,SRH,Narendra Modi Stadium,normal,37,Player_7
184,2013,Chepauk,2013-04-09,KKR,MI,MI,field,MI,Chepauk Stadium,normal,35,Player_19
185,2013,Arun,2013-04-10,RCB,DC,RCB,bat,DC,Arun Jaitley Stadium,normal,32,Player_11
186,2013,Wankhede,2013-04-11,MI,PBKS,MI,bat,MI,Wankhede Stadium,normal,43,Player_147
187,2013,Eden,2013-04-12,GT,SRH,GT,field,SRH,Eden Gardens,normal,3,Player_198
188,2013,Chinnaswamy,2013-04-13,CSK,LSG,CSK,bat,CSK,Chinnaswamy Stadium,normal,37,Player_85
189,2013,Arun,2013-04-14,LSG,RR,LSG,field,RR,Arun Jaitley Stadium,normal,45,Player_52
190,2013,Chepauk,2013-04-15,KKR,DC,KKR,field,DC,Chepauk Stadium,normal,36,Player_92
191,2013,Wankhede,2013-04-16,MI,LSG,MI,bat,LSG,Wankhede Stadium,normal,6,Player_136
192,2013,Chinnaswamy,2013-04-17,CSK,RCB,CSK,field,RCB,Chinnaswamy Stadium,normal,42,Player_159
193,2013,Eden,2013-04-18,MI,DC,MI,field,DC,Eden Gardens,normal,37,Player_17
194,2013,Rajiv,2013-04-19,MI,KKR,MI,bat,KKR,Rajiv Gandhi Stadium,normal,24,Player_155
195,2013,Wankhede,2013-04-20,CSK,PBKS,PBKS,field,PBKS,Wankhede Stadium,normal,34,Player_71
196,2013,Narendra,2013-04-21,DC,CSK,DC,bat,CSK,Narendra Modi Stadium,normal,17,Player_77
197,2013,Arun,2013-04-22,GT,MI,MI,bat,GT,Arun Jaitley Stadium,normal,31,Player_93
198,2013,Arun,2013-04-23,SRH,DC,DC,bat,SRH,Arun Jaitley Stadium,normal,26,Player_71
199,2013,Chepauk,2013-04-24,RR,LSG,RR,bat,LSG,Chepauk Stadium,normal,10,Player_62
200,2013,Arun,2013-04-25,GT,PBKS,GT,field,PBKS,Arun Jaitley Stadium,normal,33,Player_120
201,2013,Wankhede,2013-04-26,DC,RR,DC,field,DC,Wankhede Stadium,normal,16,Player_199
202,2013,Chinnaswamy,2013-04-27,GT,DC,DC,bat,DC,Chinnaswamy Stadium,normal,5,Player_129
203,2013,Narendra,2013-04-28,GT,DC,DC,bat,DC,Narendra Modi Stadium,normal,47,Player_50
204,2013,Eden,2013-04-29,RR,GT,GT,bat,RR,Eden Gardens,normal,49,Player_192
205,2013,Chinnaswamy,2013-04-30,RCB,RR,RCB,bat,RCB,Chinnaswamy Stadium,normal,39,Player_78
206,2013,Arun,2013-05-01,SRH,PBKS,SRH,field,SRH,Arun Jaitley Stadium,normal,7,Player_150
207,2013,Narendra,2013-05-02,RR,MI,MI,bat,RR,Narendra Modi Stadium,normal,38,Player_81
208,2013,Chepauk,2013-05-03,DC,KKR,KKR,bat,KKR,Chepauk Stadium,normal,30,Player_27
209,2013,Chinnaswamy,2013-05-04,CSK,GT,GT,bat,CSK,Chinnaswamy Stadium,normal,26,Player_104
210,2013,Narendra,2013-05-05,GT,CSK,CSK,bat,CSK,Narendra Modi Stadium,normal,31,Player_103
211,2014,Rajiv,2014-04-01,PBKS,DC,PBKS,bat,PBKS,Rajiv Gandhi Stadium,normal,22,Player_21
212,2014,Wankhede,2014-04-02,PBKS,CSK,CSK,bat,CSK,Wankhede Stadium,normal,49,Player_23
213,2014,Chepauk,2014-04-03,GT,PBKS,GT,field,GT,Chepauk Stadium,normal,11,Player_176
214,2014,Rajiv,2014-04-04,SRH,DC,SRH,bat,DC,Rajiv Gandhi Stadium,normal,43,Player_28
215,2014,Chepauk,2014-04-05,SRH,DC,SRH,field,DC,Chepauk Stadium,normal,26,Player_55
216,2014,Arun,2014-04-06,GT,DC,DC,field,GT,Arun Jaitley Stadium,normal,33,Player_127
217,2014,Chepauk,2014-04-07,KKR,DC,DC,field,DC,Chepauk Stadium,normal,29,Player_143
218,2014,Narendra,2014-04-08,GT,PBKS,GT,field,GT,Narendra Modi Stadium,normal,8,Player_53
219,2014,Chinnaswamy,2014-04-09,CSK,LSG,CSK,field,LSG,Chinnaswamy Stadium,normal,36,Player_140
220,2014,Narendra,2014-04-10,SRH,MI,MI,bat,SRH,Narendra Modi Stadium,normal,39,Player_51
221,2014,Arun,2014-04-11,CSK,LSG,CSK,field,CSK,Arun Jaitley Stadium,normal,26,Player_84
222,2014,Rajiv,2014-04-12,PBKS,RCB,PBKS,field,RCB,Rajiv Gandhi Stadium,normal,11,Player_69
223,2014,Arun,2014-04-13,SRH,RCB,SRH,bat,SRH,Arun Jaitley Stadium,normal,36,Player_176
224,2014,Narendra,2014-04-14,PBKS,RR,PBKS,bat,RR,Narendra Modi Stadium,normal,14,Player_58
225,2014,Arun,2014-04-15,DC,CSK,DC,bat,DC,Arun Jaitley Stadium,normal,19,Player_60
226,2014,Rajiv,2014-04-16,RR,CSK,RR,field,RR,Rajiv Gandhi Stadium,normal,9,Player_159
227,2014,Chinnaswamy,2014-04-17,KKR,CSK,KKR,bat,KKR,Chinnaswamy Stadium,normal,9,Player_194
228,2014,Wankhede,2014-04-18,LSG,RCB,RCB,bat,RCB,Wankhede Stadium,normal,41,Player_156
229,2014,Chinnaswamy,2014-04-19,MI,RCB,RCB,bat,MI,Chinnaswamy Stadium,normal,4,Player_19
230,2014,Chinnaswamy,2014-04-20,MI,RCB,MI,bat,RCB,Chinnaswamy Stadium,normal,35,Player_91
231,2014,Eden,2014-04-21,GT,CSK,CSK,field,CSK,Eden Gardens,normal,2,Player_61
232,2014,Arun,2014-04-22,PBKS,RR,PBKS,field,PBKS,Arun Jaitley Stadium,normal,5,Player_183
233,2014,Chepauk,2014-04-23,LSG,MI,LSG,field,LSG,Chepauk Stadium,normal,39,Player_106
234,2014,Narendra,2014-04-24,RCB,CSK,RCB,bat,CSK,Narendra Modi Stadium,normal,42,Player_172
235,2014,Chinnaswamy,2014-04-25,RR,RCB,RCB,field,RCB,Chinnaswamy Stadium,normal,17,Player_174
236,2014,Narendra,2014-04-26,GT,DC,DC,field,DC,Narendra Modi Stadium,normal,33,Player_127
237,2014,Rajiv,2014-04-27,DC,KKR,DC,field,DC,Rajiv Gandhi Stadium,normal,36,Player_196
238,2014,Rajiv,2014-04-28,KKR,SRH,KKR,bat,SRH,Rajiv Gandhi Stadium,normal,19,Player_177
239,2014,Wankhede,2014-04-29,SRH,GT,GT,bat,GT,Wankhede Stadium,normal,24,Player_91
240,2014,Arun,2014-04-30,CSK,RR,RR,bat,CSK,Arun Jaitley Stadium,normal,49,Player_4
241,2014,Narendra,2014-05-01,DC,PBKS,DC,bat,DC,Narendra Modi Stadium,normal,48,Player_171
242,2014,Wankhede,2014-05-02,KKR,PBKS,KKR,field,KKR,Wankhede Stadium,normal,31,Player_49
243,2014,Chepauk,2014-05-03,LSG,PBKS,PBKS,field,PBKS,Chepauk Stadium,normal,46,Player_144
244,2014,Wankhede,2014-05-04,KKR,MI,MI,field,MI,Wankhede Stadium,normal,12,Player_147
245,2014,Arun,2014-05-05,DC,GT,DC,bat,DC,Arun Jaitley Stadium,normal,16,Player_140
